2018-01-18 14:14:56,940 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: distribution-service:distribution-service:0.0.1-SNAPSHOT @ F:\fenxiaoxitongworkplace\fenxiaoServer\distribution-service\pom.xml.
2018-01-18 14:14:56,943 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: distribution-service:distribution-service:0.0.1-SNAPSHOT @ F:\fenxiaoxitongworkplace\fenxiaoServer\distribution-service\pom.xml.
2018-01-18 14:15:00,083 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-18 14:15:00,087 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2018-01-18 14:15:00,095 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-18 14:15:00,095 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-18 14:15:00,803 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: distribution-service:distribution-service:0.0.1-SNAPSHOT @ F:\fenxiaoxitongworkplace\fenxiaoServer\distribution-service\pom.xml.
2018-01-18 14:15:01,041 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: distribution-service:distribution-service:0.0.1-SNAPSHOT @ F:\fenxiaoxitongworkplace\fenxiaoServer\distribution-service\pom.xml.
2018-01-18 14:15:04,202 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-18 14:15:04,206 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2018-01-18 14:15:04,209 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-18 14:15:04,210 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-18 14:15:45,214 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-18 14:15:45,215 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2018-01-18 14:15:45,218 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-18 14:15:45,219 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-18 14:16:01,387 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-18 14:16:01,387 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2018-01-18 14:16:01,390 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-18 14:16:01,391 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-18 14:16:01,391 [Worker-6] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of distribution-service
2018-01-18 14:16:01,394 [Worker-6] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for distribution-service
2018-01-18 14:16:01,472 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-18 14:16:02,555 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-18 14:16:02,559 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2018-01-18 14:16:02,562 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-18 14:16:02,564 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-18 14:33:18,783 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-18 14:33:18,785 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2018-01-18 14:33:18,786 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-18 14:33:18,786 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
